"dialog_id","turn_id","domains","domains_original","context","schema","target","is_api_call"
"1_00001","4","restaurants","Restaurants_2","User: I am not in the mood to cook today. I want to eat out at a restaurant instead.
System: Which area would you like me to look in? Which restaurant would you like to eat in and at what time?
User: Look for a restaurant in Saratoga. Check to see if I can have a table for 1 at Sipan for 11:30.
System: You would like a table for 1 person for today at 11:30 am at the Sipan Peruvian Restaurant & Bar in Saratoga?
User: I would like to book at table at Rosie Mccann's for March 2nd.
System: You would like me to book a table at Rosie Mccann's Irish Pub & Restaurant for tomorrow?
Last User Utterance:I want the eat there on the 4th of this month.
End Dialog History

","Schema for Restaurants
Intent: ReserveRestaurant
required slots: restaurant name,location,time
optional slots: number of seats,date
Intent: FindRestaurants
required slots: category,location
optional slots: price range,has vegetarian options,has seating outdoors","You would like to reserve a table for 11:30 am for next Monday?","0"
"1_00001","5","restaurants","Restaurants_2","User: I am not in the mood to cook today. I want to eat out at a restaurant instead.
System: Which area would you like me to look in? Which restaurant would you like to eat in and at what time?
User: Look for a restaurant in Saratoga. Check to see if I can have a table for 1 at Sipan for 11:30.
System: You would like a table for 1 person for today at 11:30 am at the Sipan Peruvian Restaurant & Bar in Saratoga?
User: I would like to book at table at Rosie Mccann's for March 2nd.
System: You would like me to book a table at Rosie Mccann's Irish Pub & Restaurant for tomorrow?
User: I want the eat there on the 4th of this month.
System: You would like to reserve a table for 11:30 am for next Monday?
Last User Utterance:That would be fine. Is the restaurant costly?
End Dialog History

","Schema for Restaurants
Intent: ReserveRestaurant
required slots: restaurant name,location,time
optional slots: number of seats,date
Intent: FindRestaurants
required slots: category,location
optional slots: price range,has vegetarian options,has seating outdoors","ApiCall(method='ReserveRestaurant', parameters={'date': '2019-03-04', 'location': 'Saratoga', 'number_of_seats': '1', 'restaurant_name': ""Rosie Mccann's Irish Pub & Restaurant"", 'time': '11:30'})","1"
"1_00001","6","restaurants","Restaurants_2","User: I am not in the mood to cook today. I want to eat out at a restaurant instead.
System: Which area would you like me to look in? Which restaurant would you like to eat in and at what time?
User: Look for a restaurant in Saratoga. Check to see if I can have a table for 1 at Sipan for 11:30.
System: You would like a table for 1 person for today at 11:30 am at the Sipan Peruvian Restaurant & Bar in Saratoga?
User: I would like to book at table at Rosie Mccann's for March 2nd.
System: You would like me to book a table at Rosie Mccann's Irish Pub & Restaurant for tomorrow?
User: I want the eat there on the 4th of this month.
System: You would like to reserve a table for 11:30 am for next Monday?
Last User Utterance:That would be fine. Is the restaurant costly?
End Dialog History

ApiCall(method='ReserveRestaurant', parameters={'date': '2019-03-04', 'location': 'Saratoga', 'number_of_seats': '1', 'restaurant_name': ""Rosie Mccann's Irish Pub & Restaurant"", 'time': '11:30'})","Schema for Restaurants
Intent: ReserveRestaurant
required slots: restaurant name,location,time
optional slots: number of seats,date
Intent: FindRestaurants
required slots: category,location
optional slots: price range,has vegetarian options,has seating outdoors","My apologies. The reservation was unsuccessful. Is there anything else I can assist you with?","0"
"1_00001","7","restaurants","Restaurants_2","User: I am not in the mood to cook today. I want to eat out at a restaurant instead.
System: Which area would you like me to look in? Which restaurant would you like to eat in and at what time?
User: Look for a restaurant in Saratoga. Check to see if I can have a table for 1 at Sipan for 11:30.
System: You would like a table for 1 person for today at 11:30 am at the Sipan Peruvian Restaurant & Bar in Saratoga?
User: I would like to book at table at Rosie Mccann's for March 2nd.
System: You would like me to book a table at Rosie Mccann's Irish Pub & Restaurant for tomorrow?
User: I want the eat there on the 4th of this month.
System: You would like to reserve a table for 11:30 am for next Monday?
User: That would be fine. Is the restaurant costly?
System: My apologies. The reservation was unsuccessful. Is there anything else I can assist you with?
Last User Utterance:No thanks. You have been very helpful.
End Dialog History

","Schema for Restaurants
Intent: ReserveRestaurant
required slots: restaurant name,location,time
optional slots: number of seats,date
Intent: FindRestaurants
required slots: category,location
optional slots: price range,has vegetarian options,has seating outdoors","Enjoy your day.","0"
"1_00002","1","restaurants","Restaurants_2","
Last User Utterance:I want to reserve a table at a restaurant, specifically Bourbon Steak.
End Dialog History

","Schema for Restaurants
Intent: ReserveRestaurant
required slots: restaurant name,location,time
optional slots: number of seats,date
Intent: FindRestaurants
required slots: category,location
optional slots: price range,has vegetarian options,has seating outdoors","Which location of Bourbon Steak do you want to save a table?","0"
"1_00002","2","restaurants","Restaurants_2","User: I want to reserve a table at a restaurant, specifically Bourbon Steak.
System: Which location of Bourbon Steak do you want to save a table?
Last User Utterance:Find Bourbon Steaks in San Francisco please.
End Dialog History

","Schema for Restaurants
Intent: ReserveRestaurant
required slots: restaurant name,location,time
optional slots: number of seats,date
Intent: FindRestaurants
required slots: category,location
optional slots: price range,has vegetarian options,has seating outdoors","What time do you want to book the table for?","0"
"1_00002","3","restaurants","Restaurants_2","User: I want to reserve a table at a restaurant, specifically Bourbon Steak.
System: Which location of Bourbon Steak do you want to save a table?
User: Find Bourbon Steaks in San Francisco please.
System: What time do you want to book the table for?
Last User Utterance:Please do it for one in the afternoon.
End Dialog History

","Schema for Restaurants
Intent: ReserveRestaurant
required slots: restaurant name,location,time
optional slots: number of seats,date
Intent: FindRestaurants
required slots: category,location
optional slots: price range,has vegetarian options,has seating outdoors","Okay. Just to be clear, you want a table at Bourbon Steak Restaurant in San Francisco for 2 people today at 1 pm.","0"
"1_00002","4","restaurants","Restaurants_2","User: I want to reserve a table at a restaurant, specifically Bourbon Steak.
System: Which location of Bourbon Steak do you want to save a table?
User: Find Bourbon Steaks in San Francisco please.
System: What time do you want to book the table for?
User: Please do it for one in the afternoon.
System: Okay. Just to be clear, you want a table at Bourbon Steak Restaurant in San Francisco for 2 people today at 1 pm.
Last User Utterance:Yes, that is correct.
End Dialog History

","Schema for Restaurants
Intent: ReserveRestaurant
required slots: restaurant name,location,time
optional slots: number of seats,date
Intent: FindRestaurants
required slots: category,location
optional slots: price range,has vegetarian options,has seating outdoors","ApiCall(method='ReserveRestaurant', parameters={'date': '2019-03-01', 'location': 'San Francisco', 'number_of_seats': '2', 'restaurant_name': 'Bourbon Steak Restaurant', 'time': '13:00'})","1"
"1_00002","5","restaurants","Restaurants_2","User: I want to reserve a table at a restaurant, specifically Bourbon Steak.
System: Which location of Bourbon Steak do you want to save a table?
User: Find Bourbon Steaks in San Francisco please.
System: What time do you want to book the table for?
User: Please do it for one in the afternoon.
System: Okay. Just to be clear, you want a table at Bourbon Steak Restaurant in San Francisco for 2 people today at 1 pm.
Last User Utterance:Yes, that is correct.
End Dialog History

Search Results:
{'search_results': {'address': '335 Powell Street', 'category': 'Steakhouse', 'date': '2019-03-01', 'has_seating_outdoors': 'False', 'has_vegetarian_options': 'False', 'location': 'San Francisco', 'number_of_seats': '2', 'phone_number': '415-397-3003', 'price_range': 'ultra high-end', 'rating': '3.80', 'restaurant_name': 'Bourbon Steak Restaurant', 'time': '13:00'}}
End Search Results
ApiCall(method='ReserveRestaurant', parameters={'date': '2019-03-01', 'location': 'San Francisco', 'number_of_seats': '2', 'restaurant_name': 'Bourbon Steak Restaurant', 'time': '13:00'})","Schema for Restaurants
Intent: ReserveRestaurant
required slots: restaurant name,location,time
optional slots: number of seats,date
Intent: FindRestaurants
required slots: category,location
optional slots: price range,has vegetarian options,has seating outdoors","Alright. Your reservation has been made.","0"
"1_00002","6","restaurants","Restaurants_2","User: I want to reserve a table at a restaurant, specifically Bourbon Steak.
System: Which location of Bourbon Steak do you want to save a table?
User: Find Bourbon Steaks in San Francisco please.
System: What time do you want to book the table for?
User: Please do it for one in the afternoon.
System: Okay. Just to be clear, you want a table at Bourbon Steak Restaurant in San Francisco for 2 people today at 1 pm.
User: Yes, that is correct.
System: Alright. Your reservation has been made.
Last User Utterance:Thanks for your help. That will be it.
End Dialog History

","Schema for Restaurants
Intent: ReserveRestaurant
required slots: restaurant name,location,time
optional slots: number of seats,date
Intent: FindRestaurants
required slots: category,location
optional slots: price range,has vegetarian options,has seating outdoors","Have a great day.","0"
"1_00003","1","restaurants","Restaurants_2","
Last User Utterance:I would like to make a restaurant reservation at morning 11:15.
End Dialog History

","Schema for Restaurants
Intent: ReserveRestaurant
required slots: restaurant name,location,time
optional slots: number of seats,date
Intent: FindRestaurants
required slots: category,location
optional slots: price range,has vegetarian options,has seating outdoors","Which restaurant do you want to go to?","0"
"1_00003","2","restaurants","Restaurants_2","User: I would like to make a restaurant reservation at morning 11:15.
System: Which restaurant do you want to go to?
Last User Utterance:Can I get a reservation at Andes Cafe?
End Dialog History

","Schema for Restaurants
Intent: ReserveRestaurant
required slots: restaurant name,location,time
optional slots: number of seats,date
Intent: FindRestaurants
required slots: category,location
optional slots: price range,has vegetarian options,has seating outdoors","Which location do you want to get the reservation at?","0"
"1_00003","3","restaurants","Restaurants_2","User: I would like to make a restaurant reservation at morning 11:15.
System: Which restaurant do you want to go to?
User: Can I get a reservation at Andes Cafe?
System: Which location do you want to get the reservation at?
Last User Utterance:Find a restaurant in San Mateo.
End Dialog History

","Schema for Restaurants
Intent: ReserveRestaurant
required slots: restaurant name,location,time
optional slots: number of seats,date
Intent: FindRestaurants
required slots: category,location
optional slots: price range,has vegetarian options,has seating outdoors","Please confirm you want to make a reservation for 2 people today at 11:15 am at Andes Cafe San Mateo in San Mateo.","0"
"1_00003","4","restaurants","Restaurants_2","User: I would like to make a restaurant reservation at morning 11:15.
System: Which restaurant do you want to go to?
User: Can I get a reservation at Andes Cafe?
System: Which location do you want to get the reservation at?
User: Find a restaurant in San Mateo.
System: Please confirm you want to make a reservation for 2 people today at 11:15 am at Andes Cafe San Mateo in San Mateo.
Last User Utterance:The reservation is just for 1 person.
End Dialog History

","Schema for Restaurants
Intent: ReserveRestaurant
required slots: restaurant name,location,time
optional slots: number of seats,date
Intent: FindRestaurants
required slots: category,location
optional slots: price range,has vegetarian options,has seating outdoors","Please confirm you want a reservation for 1 person today.","0"
"1_00003","5","restaurants","Restaurants_2","User: I would like to make a restaurant reservation at morning 11:15.
System: Which restaurant do you want to go to?
User: Can I get a reservation at Andes Cafe?
System: Which location do you want to get the reservation at?
User: Find a restaurant in San Mateo.
System: Please confirm you want to make a reservation for 2 people today at 11:15 am at Andes Cafe San Mateo in San Mateo.
User: The reservation is just for 1 person.
System: Please confirm you want a reservation for 1 person today.
Last User Utterance:That is correct.
End Dialog History

","Schema for Restaurants
Intent: ReserveRestaurant
required slots: restaurant name,location,time
optional slots: number of seats,date
Intent: FindRestaurants
required slots: category,location
optional slots: price range,has vegetarian options,has seating outdoors","ApiCall(method='ReserveRestaurant', parameters={'date': '2019-03-01', 'location': 'San Mateo', 'number_of_seats': '1', 'restaurant_name': 'Andes Cafe San Mateo', 'time': '11:15'})","1"
"1_00003","6","restaurants","Restaurants_2","User: I would like to make a restaurant reservation at morning 11:15.
System: Which restaurant do you want to go to?
User: Can I get a reservation at Andes Cafe?
System: Which location do you want to get the reservation at?
User: Find a restaurant in San Mateo.
System: Please confirm you want to make a reservation for 2 people today at 11:15 am at Andes Cafe San Mateo in San Mateo.
User: The reservation is just for 1 person.
System: Please confirm you want a reservation for 1 person today.
Last User Utterance:That is correct.
End Dialog History

Search Results:
{'search_results': {'address': '2317 South El Camino Real', 'category': 'Seafood', 'date': '2019-03-01', 'has_seating_outdoors': 'False', 'has_vegetarian_options': 'False', 'location': 'San Mateo', 'number_of_seats': '1', 'phone_number': '650-581-1305', 'price_range': 'moderate', 'rating': '4.20', 'restaurant_name': 'Andes Cafe San Mateo', 'time': '11:00'}}
End Search Results
ApiCall(method='ReserveRestaurant', parameters={'date': '2019-03-01', 'location': 'San Mateo', 'number_of_seats': '1', 'restaurant_name': 'Andes Cafe San Mateo', 'time': '11:15'})","Schema for Restaurants
Intent: ReserveRestaurant
required slots: restaurant name,location,time
optional slots: number of seats,date
Intent: FindRestaurants
required slots: category,location
optional slots: price range,has vegetarian options,has seating outdoors","The reservation could not be made. Do you want to make a reservation for 1 person today at 11 am at Andes Cafe San Mateo?","0"
"1_00003","7","restaurants","Restaurants_2","User: I would like to make a restaurant reservation at morning 11:15.
System: Which restaurant do you want to go to?
User: Can I get a reservation at Andes Cafe?
System: Which location do you want to get the reservation at?
User: Find a restaurant in San Mateo.
System: Please confirm you want to make a reservation for 2 people today at 11:15 am at Andes Cafe San Mateo in San Mateo.
User: The reservation is just for 1 person.
System: Please confirm you want a reservation for 1 person today.
User: That is correct.
System: The reservation could not be made. Do you want to make a reservation for 1 person today at 11 am at Andes Cafe San Mateo?
Last User Utterance:Not at this time.
End Dialog History

","Schema for Restaurants
Intent: ReserveRestaurant
required slots: restaurant name,location,time
optional slots: number of seats,date
Intent: FindRestaurants
required slots: category,location
optional slots: price range,has vegetarian options,has seating outdoors","See you soon!","0"
"1_00004","1","restaurants","Restaurants_2","
Last User Utterance:I want to make a dinner reservation on March 5th.
End Dialog History

","Schema for Restaurants
Intent: ReserveRestaurant
required slots: restaurant name,location,time
optional slots: number of seats,date
Intent: FindRestaurants
required slots: category,location
optional slots: price range,has vegetarian options,has seating outdoors","What area are you looking in? What time do you want the reservation for?","0"
"1_00004","2","restaurants","Restaurants_2","User: I want to make a dinner reservation on March 5th.
System: What area are you looking in? What time do you want the reservation for?
Last User Utterance:I want a restaurant in San Jose, for 18:30, please.
End Dialog History

","Schema for Restaurants
Intent: ReserveRestaurant
required slots: restaurant name,location,time
optional slots: number of seats,date
Intent: FindRestaurants
required slots: category,location
optional slots: price range,has vegetarian options,has seating outdoors","Which restaurant do you want to book a table at?","0"
"1_00004","3","restaurants","Restaurants_2","User: I want to make a dinner reservation on March 5th.
System: What area are you looking in? What time do you want the reservation for?
User: I want a restaurant in San Jose, for 18:30, please.
System: Which restaurant do you want to book a table at?
Last User Utterance:Can you get me a table at Ludwig's German Table?
End Dialog History

","Schema for Restaurants
Intent: ReserveRestaurant
required slots: restaurant name,location,time
optional slots: number of seats,date
Intent: FindRestaurants
required slots: category,location
optional slots: price range,has vegetarian options,has seating outdoors","So you want a table for 2 people next Tuesday at 6:30 pm at Ludwig's German Table in San Jose?","0"
"1_00004","4","restaurants","Restaurants_2","User: I want to make a dinner reservation on March 5th.
System: What area are you looking in? What time do you want the reservation for?
User: I want a restaurant in San Jose, for 18:30, please.
System: Which restaurant do you want to book a table at?
User: Can you get me a table at Ludwig's German Table?
System: So you want a table for 2 people next Tuesday at 6:30 pm at Ludwig's German Table in San Jose?
Last User Utterance:Yes, that's right.
End Dialog History

","Schema for Restaurants
Intent: ReserveRestaurant
required slots: restaurant name,location,time
optional slots: number of seats,date
Intent: FindRestaurants
required slots: category,location
optional slots: price range,has vegetarian options,has seating outdoors","ApiCall(method='ReserveRestaurant', parameters={'date': '2019-03-05', 'location': 'San Jose', 'number_of_seats': '2', 'restaurant_name': ""Ludwig's German Table"", 'time': '18:30'})","1"
"1_00004","5","restaurants","Restaurants_2","User: I want to make a dinner reservation on March 5th.
System: What area are you looking in? What time do you want the reservation for?
User: I want a restaurant in San Jose, for 18:30, please.
System: Which restaurant do you want to book a table at?
User: Can you get me a table at Ludwig's German Table?
System: So you want a table for 2 people next Tuesday at 6:30 pm at Ludwig's German Table in San Jose?
Last User Utterance:Yes, that's right.
End Dialog History

Search Results:
{'search_results': {'address': '261 North 2nd Street', 'category': 'German', 'date': '2019-03-05', 'has_seating_outdoors': 'True', 'has_vegetarian_options': 'False', 'location': 'San Jose', 'number_of_seats': '2', 'phone_number': '408-771-9871', 'price_range': 'moderate', 'rating': '4.50', 'restaurant_name': ""Ludwig's German Table"", 'time': '18:30'}}
End Search Results
ApiCall(method='ReserveRestaurant', parameters={'date': '2019-03-05', 'location': 'San Jose', 'number_of_seats': '2', 'restaurant_name': ""Ludwig's German Table"", 'time': '18:30'})","Schema for Restaurants
Intent: ReserveRestaurant
required slots: restaurant name,location,time
optional slots: number of seats,date
Intent: FindRestaurants
required slots: category,location
optional slots: price range,has vegetarian options,has seating outdoors","Your table has been reserved.","0"
"1_00004","6","restaurants","Restaurants_2","User: I want to make a dinner reservation on March 5th.
System: What area are you looking in? What time do you want the reservation for?
User: I want a restaurant in San Jose, for 18:30, please.
System: Which restaurant do you want to book a table at?
User: Can you get me a table at Ludwig's German Table?
System: So you want a table for 2 people next Tuesday at 6:30 pm at Ludwig's German Table in San Jose?
User: Yes, that's right.
System: Your table has been reserved.
Last User Utterance:What type of food do they serve, and what's the address?
End Dialog History

","Schema for Restaurants
Intent: ReserveRestaurant
required slots: restaurant name,location,time
optional slots: number of seats,date
Intent: FindRestaurants
required slots: category,location
optional slots: price range,has vegetarian options,has seating outdoors","They serve German food. They are located at 261 North 2nd Street.","0"
"1_00004","7","restaurants","Restaurants_2","User: I want to make a dinner reservation on March 5th.
System: What area are you looking in? What time do you want the reservation for?
User: I want a restaurant in San Jose, for 18:30, please.
System: Which restaurant do you want to book a table at?
User: Can you get me a table at Ludwig's German Table?
System: So you want a table for 2 people next Tuesday at 6:30 pm at Ludwig's German Table in San Jose?
User: Yes, that's right.
System: Your table has been reserved.
User: What type of food do they serve, and what's the address?
System: They serve German food. They are located at 261 North 2nd Street.
Last User Utterance:Thanks. That's all.
End Dialog History

","Schema for Restaurants
Intent: ReserveRestaurant
required slots: restaurant name,location,time
optional slots: number of seats,date
Intent: FindRestaurants
required slots: category,location
optional slots: price range,has vegetarian options,has seating outdoors","Have a nice day.","0"
"1_00005","1","restaurants","Restaurants_2","
Last User Utterance:I want to make a reservation at a restaurant.
End Dialog History

","Schema for Restaurants
Intent: ReserveRestaurant
required slots: restaurant name,location,time
optional slots: number of seats,date
Intent: FindRestaurants
required slots: category,location
optional slots: price range,has vegetarian options,has seating outdoors","Okay, I can do that. Is there a particular restaurant that you wish to visit?","0"
"1_00005","2","restaurants","Restaurants_2","User: I want to make a reservation at a restaurant.
System: Okay, I can do that. Is there a particular restaurant that you wish to visit?
Last User Utterance:Can you look at Villa Romano in Napa?
End Dialog History

","Schema for Restaurants
Intent: ReserveRestaurant
required slots: restaurant name,location,time
optional slots: number of seats,date
Intent: FindRestaurants
required slots: category,location
optional slots: price range,has vegetarian options,has seating outdoors","Yes. What time?","0"
"1_00005","3","restaurants","Restaurants_2","User: I want to make a reservation at a restaurant.
System: Okay, I can do that. Is there a particular restaurant that you wish to visit?
User: Can you look at Villa Romano in Napa?
System: Yes. What time?
Last User Utterance:Try for afternoon 12:45.
End Dialog History

","Schema for Restaurants
Intent: ReserveRestaurant
required slots: restaurant name,location,time
optional slots: number of seats,date
Intent: FindRestaurants
required slots: category,location
optional slots: price range,has vegetarian options,has seating outdoors","No problem, please confirm: reservation for 2 at Villa Romano in Napa, today at 12:45 pm.","0"
"1_00005","4","restaurants","Restaurants_2","User: I want to make a reservation at a restaurant.
System: Okay, I can do that. Is there a particular restaurant that you wish to visit?
User: Can you look at Villa Romano in Napa?
System: Yes. What time?
User: Try for afternoon 12:45.
System: No problem, please confirm: reservation for 2 at Villa Romano in Napa, today at 12:45 pm.
Last User Utterance:Make it for 4 people.
End Dialog History

","Schema for Restaurants
Intent: ReserveRestaurant
required slots: restaurant name,location,time
optional slots: number of seats,date
Intent: FindRestaurants
required slots: category,location
optional slots: price range,has vegetarian options,has seating outdoors","Okay, please confirm: reservation for 4 people at Villa Romano.","0"
"1_00005","5","restaurants","Restaurants_2","User: I want to make a reservation at a restaurant.
System: Okay, I can do that. Is there a particular restaurant that you wish to visit?
User: Can you look at Villa Romano in Napa?
System: Yes. What time?
User: Try for afternoon 12:45.
System: No problem, please confirm: reservation for 2 at Villa Romano in Napa, today at 12:45 pm.
User: Make it for 4 people.
System: Okay, please confirm: reservation for 4 people at Villa Romano.
Last User Utterance:Actually, can we change it to Big 4.
End Dialog History

","Schema for Restaurants
Intent: ReserveRestaurant
required slots: restaurant name,location,time
optional slots: number of seats,date
Intent: FindRestaurants
required slots: category,location
optional slots: price range,has vegetarian options,has seating outdoors","Please confirm: table for 4 people at The Big 4.","0"
"1_00005","6","restaurants","Restaurants_2","User: I want to make a reservation at a restaurant.
System: Okay, I can do that. Is there a particular restaurant that you wish to visit?
User: Can you look at Villa Romano in Napa?
System: Yes. What time?
User: Try for afternoon 12:45.
System: No problem, please confirm: reservation for 2 at Villa Romano in Napa, today at 12:45 pm.
User: Make it for 4 people.
System: Okay, please confirm: reservation for 4 people at Villa Romano.
User: Actually, can we change it to Big 4.
System: Please confirm: table for 4 people at The Big 4.
Last User Utterance:Yes, that's right.
End Dialog History

","Schema for Restaurants
Intent: ReserveRestaurant
required slots: restaurant name,location,time
optional slots: number of seats,date
Intent: FindRestaurants
required slots: category,location
optional slots: price range,has vegetarian options,has seating outdoors","ApiCall(method='ReserveRestaurant', parameters={'date': '2019-03-01', 'location': 'Napa', 'number_of_seats': '4', 'restaurant_name': 'The Big 4', 'time': '12:45'})","1"
